name,website,kind,short_uk,description,marketer_url
Admitad,https://www.admitad.com/ua/site/,affiliate,Партнерская сеть,"В группу компаний Admitad входят партнерская сеть, маркетплейс для рекламодателей, корпоративная стартап-студия Admitad Projects, сервис GetUniq и кэшбэк-провайдер LetyShops. Также мы разрабатываем се",https://marketer.ua/ru/website/admitad/
ADMIXER,https://admixer.ua/,adtech,Adtech / programmatic,"ADMIXER Advertising — посредник между игроками рынка диджитал-рекламы, обеспечивающий поддержку в осуществлении транзакций по покупке и продаже рекламного инвентаря и данных. «Мы находим самые оптимал",https://marketer.ua/ru/website/admixer/
Education.ua,https://www.education.ua/,education,Каталог образования,"Education.ua — это образовательный портал и полный каталог образовательных учреждений, программ и услуг в Украине. 3 2009 года мы помогаем легко и удобно подобрать лучшее образовательное учреждение ил",https://marketer.ua/ru/website/education-ua/
finmap,https://finmap.online/,fintech,Учёт финансов бизнеса,"Учет денег для современного бизнеса. Онлайн-сервис, с которым вы избавитесь от хаоса в финансах и получите от бизнеса больше прибыли.",https://marketer.ua/ru/website/finmap/
GetProspect,https://getprospect.com/,sales_tools,Поиск B2B-контактов,"Украинский лидогенератор, благодаря уникальному алгоритму позволяет находить тысячи эмейлов в LinkedIn за несколько кликов (ежемесячно цифра найденных контактов превышает 7 млн). Также он входит в спи",https://marketer.ua/ru/website/getprospect/
Gradus Research,https://gradus.app/,research,Мобильные исследования,"Мы создали платформу Gradus для того, чтобы сделать исследования быстрыми и доступными. В мире, где все чрезвычайно быстро меняется, социологические исследования стали неотъемлемой частью процесса при",https://marketer.ua/ru/website/gradus-research/
GRC,https://grc.ua/,hrtech,Поиск работы,GRC — сайт для поиска работы предлагает актуальные вакансии надежных компаний в Украине и за рубежом.,https://marketer.ua/ru/website/grc/
HAPP,https://assistant.happ.tools/,ai_assistant,AI voice assistant,,https://marketer.ua/ru/website/happ/
Headway Inc,https://www.headway.inc/,edtech,EdTech-продукты,"Headway Inc — глобальная IT-компания с украинскими корнями, продукты которой меняют подход к обучению на протяжении всей жизни. Headway Inc создает цифровые продукты, которые делают обучение доступным",https://marketer.ua/ru/website/headway/
I-PM.Education,https://i-pm.education/,education,Онлайн-школа менеджмента,"I-PM.Education — это онлайн-школа, которая помогает фрилансерам, предпринимателям и менеджерам развивать свои навыки, структурировать работу и достигать новых высот в карьере. Простыми словами — наша ",https://marketer.ua/ru/website/i-pm-education/
keyapp,https://keyapp.top/,aso,ASO / продвижение приложений,"Keyapp.top — это платформа, позволяющая вам самостоятельно продвигать мобильные приложения в Google Play и Apple App Store.",https://marketer.ua/ru/website/keyapp/
Kiss My Apps,https://www.kissmyapps.tech/,product_studio,Продуктовая платформа / студия,"Kiss My Apps — украинская компания-платформа, объединяющая 7 продуктовых вертикалей, product engine из аналитических, платежных и маркетинговых решений, и кофаундинг направление для запуска будущих 9-",https://marketer.ua/ru/website/kiss-my-apps/
Linkos Group,https://www.linkos.ua/,business_software,Автоматизация бизнеса,Украинский разработчик решений для автоматизации бизнеса,https://marketer.ua/ru/website/linkos-group/
LOOQME,https://looqme.io/,media_monitoring,Мониторинг СМИ и соцсетей,"LOOQME (looqme.io) — продуктовая компания, занимающаяся мониторингом СМИ и соцсетей. Ежедневно системой автоматически собираются новости из около 75000 источников, а это больше 2500000 новостей на нед",https://marketer.ua/ru/website/looqme/
LP-CRM,https://lp-crm.biz/,crm,CRM для товарного бизнеса,"Система для товарного бизнеса с функциями автоматизации, которая объединяет все ваши заказы с маркетплейсов, сайтов и интернет-магазинов в одном месте.",https://marketer.ua/ru/website/lp-crm/
MacPaw,https://macpaw.com/,software,Софт для Mac/iOS,"MacPaw — украинская продуктовая компания, создающая и распространяющая программы для macOS и iOS. Среди продуктов MacPaw — CleanMyMac X, Setapp, The Unarchiver, ClearVPN и другие. Сегодня программами ",https://marketer.ua/ru/website/macpaw/
MGID,https://www.mgid.com/,adtech,Нативная реклама,"MGID — международная компания-новатор на рынке нативной рекламы, основана в 2008 году. MGID работает с клиентами со всего мира, помогая медиа монетизировать и увеличивать аудиторию, а брендам — донест",https://marketer.ua/ru/website/mgid/
MK:translations,https://mk-translations.ua/ua/,localization,Переводы и локализация,Решаем ваши бизнес-задачи в 6000 языковых парах,https://marketer.ua/ru/website/mk-translations/
NetHunt CRM,https://nethunt.ua/,crm,CRM,"NetHunt CRM — украинская облачная CRM-система, которая предлагает бизнесам разных размеров из разных отраслей возможность собирать заявки по разным каналам, организовывать и централизованно хранить да",https://marketer.ua/ru/website/nethunt-crm/
On News,https://on-news.net/,pr_distribution,Размещение пресс-релизов,"On News – сервис по размещению пресс-релизов, новостей и статей. В каталоге представлено более 1000 новостных и тематических сайтов Украины. С нами вы оперативно решите следующие задачи: разместить ст",https://marketer.ua/ru/website/on-news/
PRNEWS.IO,https://prnews.io/,pr_distribution,PR-дистрибуция в медиа,"PRNEWS.IO — украинская продуктовая компания, которая разработала онлайн-сервис для распространения PR-контента в блогах и онлайн-медиа. Благодаря платформе для размещения спонсорского контента расстоя",https://marketer.ua/ru/website/prnews-io/
Ringostat,https://ringostat.com/,telephony,Коллтрекинг и телефония,"Ringostat — украинская AI-платформа телефонии, колтрекинга и аналитики звонков. Помогает улучшить маркетинг с точки зрения окупаемости, выстроить эффективную коммуникацию с клиентом и прирастить реали",https://marketer.ua/ru/website/ringostat/
Rocket,https://raketaapp.com/,delivery,Сервис доставки,"Rocket — украинский сервис доставки, основанный в 2018 году как Raketa. С выходом на международный рынок компания изменила название на Rocket. Сегодня курьеры Rocket доставляют заказы в 27 украинских ",https://marketer.ua/ru/website/rocket/
SalesDoubler,https://salesdoubler.com.ua/,affiliate,CPA-платформа,"SalesDoubler — это одна из лучших международных CPA платформ с более чем 12-летним опытом на рынке партнерского маркетинга. Мы специализируемся исключительно на White Hat вертикалях, работая с надежны",https://marketer.ua/ru/website/salesdoubler/
SE Ranking,https://seranking.com/,seo,SEO-платформа,"Наша цель Разработка SEO-платформы, с которой любой человек, независимо от опыта и знаний, может продвигать в поиске свой сайт или сайт клиента. Что мы для этого делаем С одной стороны, разрабатываем ",https://marketer.ua/ru/website/se-ranking/
Serpstat,https://serpstat.com/,seo,SEO-платформа,"Мы создаем продукт, который автоматизирует и повышает эффективность работы специалиста поискового маркетинга. Опережайте конкурентов и зарабатывайте больше вместе с Serpstat.",https://marketer.ua/ru/website/serpstat/
Snov.io,https://snov.io/,sales_tools,Cold outreach / sales,"Платформа для автоматизации холодного аутрича. Мы предлагаем лучшие решения для менеджеров по продажам, маркетологов, стартаперов, рекрутеров и всех, кто в своей работе полагается на email-аутрич и ау",https://marketer.ua/ru/website/snov-io/
SOM,https://it-som.net/,giveaways,Розыгрыши в соцсетях,,https://marketer.ua/ru/website/som/
TrendHERO,https://trendhero.io/,influencer,Аналитика Instagram-блогеров,"Поиск и проверка блогеров в Instagram База 60+ млн аккаунтов. 90+ метрик для аналитики аккаунта и проверки на накрутку в Instagram. Сервис, который делает рекламу у блогеров проще и эффективнее.",https://marketer.ua/ru/website/trendhero/
WayForPay,https://wayforpay.com/,payments,Платёжный шлюз,WayForPay работает с 2015 года и сегодня обслуживает более 50 тыс. клиентов. За 11 лет компания превратилась из сервиса денежных переводов в инновационную мультисервисную платформу для приёма платежей,https://marketer.ua/ru/website/wayforpay/
Work.ua,https://www.work.ua/,hrtech,Job-борд,"Work.ua — сайт поиска работы №1 в Украине. Ведущие компании Украины размещают свои вакансии и находят сотрудников с помощью Work.ua. Мы делаем все, чтобы каждому посетителю Work.ua запомнился как самы",https://marketer.ua/ru/website/work-ua/
